 time,energy conservation violation
   24.628999999987951      ,   1.7763568394002505E-015
   24.629499999987949      ,   2.2204460492503131E-015
   24.629999999987948      ,   1.7763568394002505E-015
   24.630499999987947      ,   1.7763568394002505E-015
   24.630999999987946      ,   2.2204460492503131E-015
   24.631499999987945      ,   1.9984014443252818E-015
   24.631999999987944      ,   2.2204460492503131E-015
   24.632499999987942      ,   1.9984014443252818E-015
   24.632999999987941      ,   1.9984014443252818E-015
   24.633499999987940      ,   2.2204460492503131E-015
   24.633999999987939      ,   2.2204460492503131E-015
   24.634499999987938      ,   2.2204460492503131E-015
   24.634999999987937      ,   2.2204460492503131E-015
   24.635499999987935      ,   1.7763568394002505E-015
   24.635999999987934      ,   2.2204460492503131E-015
   24.636499999987933      ,   2.4424906541753444E-015
   24.636999999987932      ,   1.9984014443252818E-015
   24.637499999987931      ,   2.2204460492503131E-015
   24.637999999987930      ,   2.2204460492503131E-015
   24.638499999987928      ,   2.2204460492503131E-015
   24.638999999987927      ,   1.9984014443252818E-015
   24.639499999987926      ,   2.2204460492503131E-015
   24.639999999987925      ,   2.4424906541753444E-015
   24.640499999987924      ,   2.2204460492503131E-015
   24.640999999987923      ,   2.2204460492503131E-015
   24.641499999987921      ,   1.9984014443252818E-015
   24.641999999987920      ,   2.2204460492503131E-015
   24.642499999987919      ,   2.2204460492503131E-015
   24.642999999987918      ,   2.2204460492503131E-015
   24.643499999987917      ,   2.2204460492503131E-015
   24.643999999987916      ,   2.2204460492503131E-015
   24.644499999987914      ,   2.2204460492503131E-015
   24.644999999987913      ,   1.9984014443252818E-015
   24.645499999987912      ,   1.9984014443252818E-015
   24.645999999987911      ,   2.2204460492503131E-015
   24.646499999987910      ,   2.2204460492503131E-015
   24.646999999987909      ,   2.2204460492503131E-015
   24.647499999987907      ,   1.9984014443252818E-015
   24.647999999987906      ,   2.2204460492503131E-015
   24.648499999987905      ,   2.2204460492503131E-015
   24.648999999987904      ,   2.2204460492503131E-015
   24.649499999987903      ,   2.2204460492503131E-015
   24.649999999987902      ,   2.2204460492503131E-015
   24.650499999987900      ,   2.2204460492503131E-015
   24.650999999987899      ,   2.2204460492503131E-015
   24.651499999987898      ,   2.2204460492503131E-015
   24.651999999987897      ,   2.2204460492503131E-015
   24.652499999987896      ,   2.2204460492503131E-015
   24.652999999987895      ,   2.4424906541753444E-015
   24.653499999987893      ,   2.2204460492503131E-015
   24.653999999987892      ,   1.9984014443252818E-015
   24.654499999987891      ,   2.2204460492503131E-015
   24.654999999987890      ,   2.4424906541753444E-015
   24.655499999987889      ,   2.4424906541753444E-015
   24.655999999987888      ,   2.4424906541753444E-015
   24.656499999987886      ,   2.2204460492503131E-015
   24.656999999987885      ,   2.4424906541753444E-015
   24.657499999987884      ,   2.4424906541753444E-015
   24.657999999987883      ,   2.4424906541753444E-015
   24.658499999987882      ,   2.2204460492503131E-015
   24.658999999987881      ,   2.2204460492503131E-015
   24.659499999987879      ,   2.4424906541753444E-015
   24.659999999987878      ,   2.4424906541753444E-015
   24.660499999987877      ,   2.2204460492503131E-015
   24.660999999987876      ,   2.2204460492503131E-015
   24.661499999987875      ,   2.2204460492503131E-015
   24.661999999987874      ,   2.2204460492503131E-015
   24.662499999987872      ,   2.4424906541753444E-015
   24.662999999987871      ,   2.2204460492503131E-015
   24.663499999987870      ,   1.9984014443252818E-015
   24.663999999987869      ,   2.4424906541753444E-015
   24.664499999987868      ,   2.2204460492503131E-015
   24.664999999987867      ,   2.4424906541753444E-015
   24.665499999987865      ,   2.2204460492503131E-015
   24.665999999987864      ,   2.4424906541753444E-015
   24.666499999987863      ,   2.2204460492503131E-015
   24.666999999987862      ,   2.2204460492503131E-015
   24.667499999987861      ,   2.2204460492503131E-015
   24.667999999987860      ,   2.4424906541753444E-015
   24.668499999987858      ,   2.4424906541753444E-015
   24.668999999987857      ,   2.2204460492503131E-015
   24.669499999987856      ,   2.4424906541753444E-015
   24.669999999987855      ,   2.2204460492503131E-015
   24.670499999987854      ,   2.2204460492503131E-015
   24.670999999987853      ,   2.2204460492503131E-015
   24.671499999987851      ,   2.2204460492503131E-015
   24.671999999987850      ,   2.2204460492503131E-015
   24.672499999987849      ,   2.4424906541753444E-015
   24.672999999987848      ,   2.2204460492503131E-015
   24.673499999987847      ,   2.4424906541753444E-015
   24.673999999987846      ,   2.4424906541753444E-015
   24.674499999987844      ,   2.4424906541753444E-015
   24.674999999987843      ,   1.9984014443252818E-015
   24.675499999987842      ,   2.4424906541753444E-015
   24.675999999987841      ,   2.2204460492503131E-015
   24.676499999987840      ,   2.4424906541753444E-015
   24.676999999987839      ,   2.4424906541753444E-015
   24.677499999987837      ,   2.4424906541753444E-015
   24.677999999987836      ,   2.2204460492503131E-015
   24.678499999987835      ,   2.4424906541753444E-015
   24.678999999987834      ,   1.9984014443252818E-015
   24.679499999987833      ,   2.4424906541753444E-015
   24.679999999987832      ,   2.4424906541753444E-015
   24.680499999987831      ,   2.2204460492503131E-015
   24.680999999987829      ,   2.2204460492503131E-015
   24.681499999987828      ,   2.2204460492503131E-015
   24.681999999987827      ,   2.4424906541753444E-015
   24.682499999987826      ,   2.2204460492503131E-015
   24.682999999987825      ,   2.4424906541753444E-015
   24.683499999987824      ,   2.4424906541753444E-015
   24.683999999987822      ,   2.4424906541753444E-015
   24.684499999987821      ,   2.2204460492503131E-015
   24.684999999987820      ,   2.4424906541753444E-015
   24.685499999987819      ,   2.2204460492503131E-015
   24.685999999987818      ,   2.4424906541753444E-015
   24.686499999987817      ,   2.4424906541753444E-015
   24.686999999987815      ,   2.4424906541753444E-015
   24.687499999987814      ,   2.2204460492503131E-015
   24.687999999987813      ,   2.4424906541753444E-015
   24.688499999987812      ,   2.6645352591003757E-015
   24.688999999987811      ,   2.6645352591003757E-015
   24.689499999987810      ,   2.4424906541753444E-015
   24.689999999987808      ,   2.4424906541753444E-015
   24.690499999987807      ,   2.8865798640254070E-015
   24.690999999987806      ,   2.4424906541753444E-015
   24.691499999987805      ,   2.4424906541753444E-015
   24.691999999987804      ,   2.6645352591003757E-015
   24.692499999987803      ,   2.4424906541753444E-015
   24.692999999987801      ,   2.6645352591003757E-015
   24.693499999987800      ,   2.4424906541753444E-015
   24.693999999987799      ,   2.4424906541753444E-015
   24.694499999987798      ,   2.4424906541753444E-015
   24.694999999987797      ,   2.8865798640254070E-015
   24.695499999987796      ,   3.1086244689504383E-015
   24.695999999987794      ,   2.4424906541753444E-015
   24.696499999987793      ,   2.8865798640254070E-015
   24.696999999987792      ,   2.8865798640254070E-015
   24.697499999987791      ,   2.8865798640254070E-015
   24.697999999987790      ,   2.6645352591003757E-015
   24.698499999987789      ,   2.6645352591003757E-015
   24.698999999987787      ,   2.4424906541753444E-015
   24.699499999987786      ,   2.4424906541753444E-015
   24.699999999987785      ,   2.8865798640254070E-015
   24.700499999987784      ,   3.1086244689504383E-015
   24.700999999987783      ,   2.6645352591003757E-015
   24.701499999987782      ,   2.4424906541753444E-015
   24.701999999987780      ,   2.8865798640254070E-015
   24.702499999987779      ,   2.6645352591003757E-015
   24.702999999987778      ,   2.8865798640254070E-015
   24.703499999987777      ,   2.6645352591003757E-015
   24.703999999987776      ,   2.4424906541753444E-015
   24.704499999987775      ,   2.4424906541753444E-015
   24.704999999987773      ,   2.4424906541753444E-015
   24.705499999987772      ,   2.4424906541753444E-015
   24.705999999987771      ,   2.4424906541753444E-015
   24.706499999987770      ,   2.4424906541753444E-015
   24.706999999987769      ,   2.4424906541753444E-015
   24.707499999987768      ,   2.4424906541753444E-015
   24.707999999987766      ,   2.4424906541753444E-015
   24.708499999987765      ,   2.2204460492503131E-015
   24.708999999987764      ,   2.4424906541753444E-015
   24.709499999987763      ,   2.2204460492503131E-015
   24.709999999987762      ,   2.4424906541753444E-015
   24.710499999987761      ,   2.4424906541753444E-015
   24.710999999987759      ,   2.4424906541753444E-015
   24.711499999987758      ,   2.4424906541753444E-015
   24.711999999987757      ,   2.4424906541753444E-015
   24.712499999987756      ,   2.4424906541753444E-015
